('通用要求\n', '1')
('载人航天工程有效载荷生物安全\n', '1')
('General requirements of biosafety for payloads of manned spaceflight program\n', '1')
('空间站有效载荷医学要求与评价方法\n', '1')
('Medical requirements and evaluation methods of payloads for space station\n', '1')
('空间站接地要求\n', '1')
('Grounding requirements of space station\n', '1')
('载人航天器交会对接仿真试验方法\n', '1')
('第6\n', '0')
('部分：全任务联合仿真试验\n', '1')
('Simulation test methods for rendezvous and docking of manned spacecraft-\n', '1')
('Part 6:Co-simulation test for full mission\n', '1')
('第一版\n', '0')
('中国航天工业总公司第七O八研究所\n', '0')
('软件质量保证计划．\n', '1')
('软件质量保证计划\n', '1')
('欧洲空间局（ESA）标准\n', '0')
('本规范的目的是为制定软件质量保证计划以及该计划的内容提供一个统一的、可以接受的要求，本规范以IEEE质量保证计划标准（IEEE Std 730-1981,1981年11月）为基础。\n', '0')
('目次\n', '0')
('要\n', '0')
('ESA PSS-01-101 第一版\n', '0')
('ESA）标准\n', '0')
('IEEE质量保证计划标准（IEEE Std 730-1981,1981年11月）为基础。\n', '0')
('Software quality assurance plans\n', '1')
('第1版\n', '0')
('欧洲空间局（ESA）标准\n', '0')
('软件项目管理指南\n', '1')
('中国航天工业总公司第七O八研究所\n', '0')
('ESA-PSS-05-08第1版\n', '0')
('ESA）标准\n', '0')
('GUIDE TO SOFTWARE PROJECT MANAGEMENT\n', '1')
('卫星天线通用规范\n', '1')
('主题内容与适用范围\n', '0')
('FL\n', '0')
('General specification for satellite antennas\n', '1')
('军用设备环境试验方法\n', '1')
('本标准规定了军用设备温度-高度试验方法，是制订军用设备技术条件或产品标准等技术文件相应部分的基础和选用依据。\n', '0')
('国防科学技术工业委员会\n', '0')
('一）\n', '0')
('本标准主要用于使用高度不超过31000m的机载设备，空运和在高海拔地区工作的设备。\n', '0')
('试验目的\n', '0')
('温度-高度试验\n', '0')
('Environmental test methods\n', '0')
('Environmental test methods for military equipments\n', '1')
('FL\n', '0')
('Temperature-altitude test\n', '1')
('for military equipments\n', '1')
('遥测系统及分系统测试方法\n', '1')
('计测磁带测试方法\n', '1')
('FL 5800\n', '0')
('The test methods for telemetry systems and subsystems\n', '1')
('The test methods for instrumentation magnetic tape\n', '1')
('局会\n', '0')
('第1\n', '0')
('部分：标准化文件的结构和起草规则\n', '1')
('标准化工作导则\n', '1')
('for the structure and drafting of ISO and IEC documents,NEQ)\n', '1')
('CCS A 00\n', '0')
('ICS 01.120\n', '0')
('Directives for standardization-\n', '1')
('Part 1:Rules for the structure and drafting of standardizing documents\n', '1')
('ISO/IEC Directives,Part 2,2018,Principles and rules\n', '1')
('规范性引用文件\n', '0')
('参考文献\n', '0')
('空间科学实验转动部件规范\n', '1')
('附录C（资料性附录）固体润滑材料特点、轴承预紧与固体润滑轴承跑合11\n', '0')
('油润滑设计．．\n', '0')
('润滑类型与选用原则\n', '0')
('设计验证\n', '0')
('一般要求\n', '0')
('第2\n', '1')
('部分：润滑设计要求\n', '1')
('附录B（规范性附录）油润滑设计的参数计算\n', '0')
('附录A（资料性附录）常见油润滑的使用特点与使用要求\n', '0')
('ICS 49.035\n', '0')
('Part 2:Requirements of lubrication design\n', '1')
('Specification of the rotating component in space science experiments-\n', '1')
('北京市西城区三里河北街16号（100045）\n', '0')
('举报电话：（010）68510107\n', '0')
('中国标准出版社出版发行\n', '0')
('各地新华书店经销\n', '0')
('读者服务部：（010）68523946\n', '0')
('版权专有 侵权必究\n', '0')
('固体实验样品制备规范\n', '1')
('网址 www.spc.net.cn\n', '0')
('开本880x1230 1／16 印张0.75 字数18千字\n', '0')
('北京市朝阳区和平里西街甲2号（100029）\n', '0')
('年7月第一版 2019年7月第一次印刷\n', '0')
('空间材料科学实验\n', '1')
('总编室：（010）68533533 发行中心：（010）51780238\n', '0')
('中华人民共和国\n', '0')
('中国标准出版社秦皇岛印刷厂印刷\n', '0')
('如有印装差错 由本社发行中心调换\n', '0')
('书号：155066·1-63142 定价 16.00元\n', '0')
('国家市场监督管理总局\n', '0')
('Preparation specification for solid experiment sample\n', '1')
('Space materials science experiment-\n', '1')
('www.spc.net.cn\n', '0')
('ICS 49.020\n', '0')
('北京市西城区三里河北街16号（100045）\n', '0')
('举报电话：（010）68510107\n', 0)
('各地新华书店经销\n', 0)
('开本 880x1230 1／16 印张0.5 字数10千字\n', 0)
('读者服务部：（010）68523946\n', 0)
('版权专有 侵权必究\n', 1)
('书号：155066·1-63968 定价 14.00元\n', 0)
('中华人民共和国\n', 0)
('中国标准出版社出版发行\n', 0)
('年10月第一版 2019年10月第一次印刷\n', 0)
('网址 www.spc.net.cn\n', 0)
('月球与行星近景摄影测量相机地形测量\n', 1)
('能力地面验证试验规范\n', 1)
('北京市朝阳区和平里西街甲2号（100029）\n', 0)
('总编室：（010）68533533 发行中心：（010）51780238\n', 0)
('中国标准出版社秦皇岛印刷厂印刷\n', 0)
('如有印装差错 由本社发行中心调换\n', 0)
('国家市场监督管理总局\n', 0)
('Specification of the ground verification test for the topographic measurement capability of the lunar and planet close-range photogrammetry camera\n', 1)
('www.spc.net.cn\n', 0)
('ICS 07.040\n', 0)
('高强玻璃纤维布规范\n', 1)
('Specification for high strength glass fabrics\n', 1)
('FL 6220\n', 0)
('高强玻璃纤维布规范\n', 1)
('Specification for high strength glass fabrics\n', 1)
('FL 6220\n', 0)
('主轴跳动\n', 0)
('项目\n', 0)
('一等渐开线样板、螺旋线样板检定仪器\n', 0)
('四\n', 0)
('校准规范\n', 0)
('上损尖轴线同轴度．．．．．\n', 0)
('specimen and helix specimen\n', 1)
('FL 0113\n', 0)
('Calibration specification for the device used to measure grade one involute\n', 1)
('速率陀螺仪通用规范\n', 1)
('四\n', 0)
('General specification of rate gyroscopes\n', 1)
('FL 1114\n', 0)
('四\n', 0)
('一\n', 0)
('锂电池安全要求\n', 1)
('Safety requirement for lithium cells and batteries\n', 1)
('FL 6113\n', 0)
('机械密封用圆柱螺旋弹簧\n', 1)
('ICS 21.140\n', 0)
('Cylindrically helical compression spring for mechanical seal\n', 1)
('第9\n', 0)
('部分：切削加工件\n', 0)
('重型机械通用技术条件\n', 1)
('ICS 25.120.20\n', 0)
('Heavy mechanical general techniques and standards\n', 1)
('Part 9:Cutting\n', 0)
('第9\n', 0)
('部分：切削加工件\n', 0)
('重型机械通用技术条件\n', 1)
('ICS 25.120.20\n', 0)
('Heavy mechanical general techniques and standards\n', 1)
('Part 9:Cutting\n', 0)
('发 布\n', 0)
('产品图样及设计文件借用件管理办法\n', 1)
('Drawing and design document of product Management means of lorrow part\n', 1)
('ICS 01.110\n', 0)
('电子避雷器通用规范\n', 1)
('General specification for\n', 0)
('electronic lightning arresters\n', 1)
('SJ/T 11147-1997\n', 0)
('保证所有可交付项目的测试处于准备状态。\n', 0)
